standard Exponential Lorentz
0.0737708 4.02638 1
0.585922 5.76052 1
0.510853 6.01582 1
0.269321 0.122259 1
0.0814197 0.148597 1
0.557847 0.147735 1
0.37779 0.0794044 1
0.362877 1.4136 1
0.265818 1.09677 1
0.638015 0.281881 1
0.774758 0.680397 1
0.17513 1.81172 1
0.192706 0.332005 1
0.63556 0.49685 1
0.306518 3.75808 1
0.513823 0.910988 1
0.158377 0.124748 1
0.147904 0.520738 1
0.916719 0.683017 1
0.688462 0.143015 1
0.267345 0.988265 1
0.630232 0.701963 1
0.831662 1.47933 1
0.528452 1.31278 1
0.555673 0.107456 1
0.163992 1.0337 1
0.542181 1.19126 1
0.236551 0.253144 1
0.375082 1.54828 1
0.243234 0.16544 1
0.544722 0.531653 1
0.392162 1.71907 1
0.882483 1.67427 1
0.782783 0.414037 1
0.239168 1.08862 1
0.605093 0.618558 1
0.789363 0.0791726 1
0.579802 1.03514 1
0.289445 0.154336 1
0.116767 0.774022 1
0.908205 0.428529 1
0.933158 0.246089 1
0.176765 0.000519761 1
0.0270522 0.541443 1
0.787481 0.845132 1
0.0644457 2.96694 1
0.0537989 0.0680066 1
0.234265 1.03051 1
0.557967 0.444702 1
0.630908 0.0787444 1
0.437019 0.766628 1
0.0255961 0.597348 1
0.632408 0.109511 1
0.932798 0.126655 1
0.00568107 0.945118 1
0.426059 0.105561 1
0.125561 1.5877 1
0.573597 0.742005 1
0.71779 0.715939 1
0.755724 1.59482 1
0.716117 0.475007 1
0.227562 4.79905 1
0.670233 0.194332 1
0.675733 0.318421 1
0.486142 0.560684 1
0.920404 1.35121 1
0.342881 0.518798 1
0.610643 0.789433 1
0.283634 0.365017 1
0.669617 0.166111 1
0.951702 1.48118 1
0.573755 0.465514 1
0.00237136 0.564421 1
0.513741 0.677185 1
0.127125 0.0589467 1
0.817917 0.426595 1
0.409034 0.806954 1
0.656145 0.191241 1
0.72036 0.84599 1
0.580197 1.96223 1
0.725854 2.36948 1
0.649006 1.7102 1
0.567914 0.374461 1
0.646935 1.18011 1
0.959032 0.0745759 1
0.956054 2.12318 1
0.0150986 1.22683 1
0.166787 0.324718 1
0.216465 1.51926 1
0.78598 1.38467 1
0.0710075 0.352263 1
0.683175 1.36593 1
0.156781 0.131034 1
0.428794 0.0210583 1
0.554855 0.950912 1
0.812363 0.115676 1
0.835319 2.47131 1
0.319974 0.113439 1
0.467262 1.98507 1
0.396267 0.274177 1
0.0479405 0.0111812 1
0.286043 0.117352 1
0.207131 0.71003 1
0.816025 1.15019 1
0.712864 1.20508 1
0.692926 0.0950589 1
0.938271 0.742926 1
0.937838 1.66149 1
0.673027 0.389307 1
0.0465888 0.584268 1
0.329449 0.578122 1
0.820004 2.08253 1
0.751793 1.32514 1
0.724275 1.04802 1
0.642718 0.666059 1
0.751582 0.245024 1
0.0645222 0.0393951 1
0.403094 0.346286 1
0.479631 0.74835 1
0.799518 0.534637 1
0.99513 0.598065 1
0.0785518 2.14451 1
0.821586 0.0436035 1
0.161997 0.578413 1
0.314158 0.482147 1
0.725305 0.220678 1
0.883415 1.20153 1
0.0796116 3.11947 1
0.473112 1.45447 1
0.26121 1.16752 1
0.959183 1.45492 1
0.62974 0.393838 1
0.895251 1.12848 1
0.867592 1.78392 1
0.252963 0.370182 1
0.679214 1.44445 1
0.238121 4.34092 1
0.446365 1.2046 1
0.688279 0.64107 1
0.820476 0.951052 1
0.176926 1.97255 1
0.329604 0.663127 1
0.0673982 0.853633 1
0.960374 1.72498 1
0.705182 0.295034 1
0.789686 0.196497 1
0.55148 2.93956 1
0.0306539 0.67418 1
0.63149 0.980567 1
0.637164 0.563953 1
0.256615 1.34091 1
0.175876 0.689001 1
0.636219 2.25327 1
0.666819 3.51948 1
0.467283 2.00971 1
0.847554 0.892121 1
0.613216 0.41379 1
0.0663728 0.839665 1
0.372145 0.334786 1
0.0611806 0.703574 1
0.139462 2.49573 1
0.502315 2.17972 1
0.798089 0.271033 1
0.192503 0.411694 1
0.776208 0.172033 1
0.527296 0.948209 1
0.783966 0.439926 1
0.106845 1.64607 1
0.901104 2.213 1
0.516147 2.6065 1
0.278793 3.882 1
0.105086 2.05286 1
0.200989 1.51851 1
0.55441 2.00863 1
0.209708 1.90317 1
0.575337 0.46236 1
0.52453 0.193142 1
0.814524 1.02861 1
0.738362 0.0347978 1
0.772696 0.571255 1
0.113915 0.509048 1
0.919387 0.0971545 1
0.962801 0.457563 1
0.691375 0.228147 1
0.323109 0.401089 1
0.788797 1.04839 1
0.533186 0.909968 1
0.393738 0.0625665 1
0.710457 0.452299 1
0.387641 0.510881 1
0.698665 0.415293 1
0.737673 5.86035 1
0.195767 0.189506 1
0.760874 1.38605 1
0.909781 1.12438 1
0.484289 1.07814 1
0.0328508 0.0288134 1
0.583416 0.181298 1
0.143143 0.37876 1
0.0281933 1.74949 1
0.310255 1.04907 1
0.225675 0.687728 1
0.125759 0.287285 1
0.197001 0.221069 1
0.10457 0.0821941 1
0.809052 0.0327851 1
0.304945 0.415679 1
0.908743 2.34074 1
0.227236 0.279862 1
0.890758 0.130792 1
0.0818251 1.84774 1
0.117523 0.76064 1
0.588527 0.659206 1
0.982441 1.46137 1
0.00394992 2.51938 1
0.0500037 0.140884 1
0.818996 0.179214 1
0.000357946 1.2002 1
0.45386 0.226056 1
0.837682 1.16657 1
0.112864 2.44837 1
0.612527 0.501481 1
0.189793 2.41802 1
0.350791 0.402283 1
0.869821 0.0304097 1
0.15569 0.182831 1
0.863006 0.265446 1
0.376189 2.1384 1
0.0976483 0.216399 1
0.926074 0.477529 1
0.480245 0.0714674 1
0.759594 0.61084 1
0.590755 0.175854 1
0.00548739 0.532766 1
0.482971 0.0915193 1
0.226562 0.527732 1
0.417731 2.47142 1
0.889778 2.66254 1
0.616459 1.36428 1
0.250179 1.72291 1
0.439675 2.35149 1
0.780342 3.22296 1
0.657631 0.95235 1
0.458501 1.14397 1
0.551499 2.68701 1
0.940162 0.568678 1
0.112253 0.624696 1
0.0522553 0.547311 1
0.608313 1.25495 1
0.681518 0.0349206 1
0.588296 0.038281 1
0.882897 0.125176 1
0.992183 2.90214 1
0.739558 3.26486 1
0.267163 1.53615 1
0.0409674 1.67116 1
0.321059 2.37263 1
0.60955 1.41371 1
0.948867 2.10388 1
0.812152 0.533588 1
0.637851 1.55915 1
0.219829 0.500117 1
0.918085 2.30724 1
0.929187 1.03222 1
0.686098 0.160867 1
0.63001 0.0383884 1
0.398432 1.1787 1
0.40647 1.3255 1
0.628167 0.544477 1
0.556342 0.215494 1
0.8219 0.0465056 1
0.58432 3.68795 1
0.247607 1.86192 1
0.92345 0.45935 1
0.384655 0.245183 1
0.99327 1.68971 1
0.660449 2.1974 1
0.533087 0.178215 1
0.391554 1.1333 1
0.406585 1.42336 1
0.608462 0.868561 1
0.75366 0.162632 1
0.367677 2.90338 1
0.0808529 1.00912 1
0.194496 1.94342 1
0.0156564 0.847241 1
0.650651 2.02171 1
0.258442 0.749492 1
0.526116 1.43664 1
0.21294 0.598384 1
0.643045 0.0363227 1
0.0589248 0.435766 1
0.145148 0.412185 1
0.942193 5.39188 1
0.726673 0.155682 1
0.925095 0.229511 1
0.729981 0.649911 1
0.16525 0.149608 1
0.303529 1.59232 1
0.787593 0.748787 1
0.663449 0.726011 1
0.37326 2.34089 1
0.970558 0.448437 1
0.513721 0.272092 1
0.366886 0.581694 1
0.907663 0.272167 1
0.553512 1.23655 1
0.422903 0.326829 1
0.421757 0.71273 1
0.709941 0.821676 1
0.870395 1.87171 1
0.564314 1.41334 1
0.451859 1.05644 1
0.6077 0.00540007 1
0.57596 0.200032 1
0.910995 0.0195498 1
0.445121 3.03937 1
0.19535 0.185672 1
0.319624 0.31817 1
0.947767 0.446006 1
0.984699 0.126772 1
0.548686 1.47475 1
0.450821 1.73209 1
0.604426 0.968961 1
0.970646 0.213748 1
0.25808 0.415178 1
0.505167 0.349834 1
0.867044 0.33632 1
0.488499 0.975304 1
0.627427 2.05851 1
0.235011 0.147439 1
0.413195 0.688045 1
0.0685683 1.48981 1
0.136987 2.47682 1
0.698513 0.0161118 1
0.455043 0.235466 1
0.634491 0.113645 1
0.398074 0.152221 1
0.237992 4.37091 1
0.799496 3.20194 1
0.823197 1.09045 1
0.545049 0.0114021 1
0.56286 1.77875 1
0.577964 1.27727 1
0.338285 1.51524 1
0.243179 0.440307 1
0.763267 0.200076 1
0.759202 0.494966 1
0.748819 0.55687 1
0.885928 1.10406 1
0.231991 0.127161 1
0.505755 0.993846 1
0.245771 0.659645 1
0.977537 1.65717 1
0.134933 2.01122 1
0.704564 0.417555 1
0.805145 0.285605 1
0.730196 4.20714 1
0.371625 0.867745 1
0.101421 1.16802 1
0.872663 0.325922 1
0.352541 1.2397 1
0.689794 0.306007 1
0.871613 0.581028 1
0.878808 0.335489 1
0.889046 1.43246 1
0.701594 1.705 1
0.108721 0.0495418 1
0.819868 0.770519 1
0.528346 0.744879 1
0.589314 0.738966 1
0.522205 0.19753 1
0.911876 0.525142 1
0.4917 1.42093 1
0.0372485 5.98156 1
0.983032 1.62923 1
0.45756 0.0883415 1
0.618305 0.76004 1
0.792082 0.175409 1
0.794672 0.0779243 1
0.985311 2.12272 1
0.978535 0.706553 1
0.801069 0.0457074 1
0.512865 0.466815 1
0.254047 0.175956 1
0.884692 2.21647 1
0.326223 1.21575 1
0.578486 0.6798 1
0.604748 2.61935 1
0.865359 0.29095 1
0.160576 4.47174 1
0.219764 0.0988589 1
0.521221 0.128394 1
0.0768767 0.382956 1
0.112565 1.14744 1
0.247367 0.651079 1
0.187916 0.80862 1
0.515084 0.12167 1
0.466155 0.805076 1
0.202066 0.580723 1
0.756579 1.87426 1
0.752699 0.114041 1
0.0131869 0.202356 1
0.481716 0.421652 1
0.317492 0.267396 1
0.971438 1.57579 1
0.492545 0.104075 1
0.703206 0.76105 1
0.982519 2.48834 1
0.210925 1.07973 1
0.516277 0.80466 1
0.745258 0.64272 1
0.700117 0.427862 1
0.165197 0.325071 1
0.130269 0.549199 1
0.238019 0.286636 1
0.516804 0.653643 1
0.887251 2.87813 1
0.517109 1.49624 1
0.252267 1.65124 1
0.961763 0.571374 1
0.496771 2.34064 1
0.628409 1.45254 1
0.600696 0.167046 1
0.453796 1.27101 1
0.728447 0.465351 1
0.0162102 0.410878 1
0.470709 1.64826 1
0.41159 0.559017 1
0.92987 1.80083 1
0.25766 1.14713 1
0.505806 1.21048 1
0.794271 0.954449 1
0.15884 0.622649 1
0.229685 0.153941 1
0.353149 0.429146 1
0.720895 0.092225 1
0.299294 0.84263 1
0.342713 0.135108 1
0.979011 1.30208 1
0.63231 0.634713 1
0.790439 0.401378 1
0.592934 0.328268 1
0.571231 2.83101 1
0.0906931 1.97487 1
0.541785 0.562067 1
0.00558377 0.352782 1
0.916868 0.0889635 1
0.091001 0.506811 1
0.00261637 0.813737 1
0.437869 0.0026376 1
0.0510352 2.69788 1
0.920929 0.352232 1
0.00221013 0.151648 1
0.666565 0.457557 1
0.475293 0.647981 1
0.794336 0.905204 1
0.929373 0.395638 1
0.735043 0.548694 1
0.0656057 3.11664 1
0.246285 0.0340809 1
0.848232 0.856498 1
0.367081 0.299863 1
0.124062 0.0110089 1
0.57095 1.74382 1
0.241825 1.64492 1
0.215938 2.05383 1
0.0374091 1.3599 1
0.267973 0.178388 1
0.944956 0.772839 1
0.308796 0.125141 1
0.319901 1.60917 1
0.805997 0.0349956 1
0.400645 1.24168 1
0.426987 1.99417 1
0.0374872 1.09626 1
0.187894 0.746945 1
0.296926 0.039342 1
0.645894 0.026077 1
0.803485 0.0504268 1
0.390715 0.735444 1
0.777824 1.33446 1
0.815733 2.84329 1
0.73954 1.8725 1
0.240955 0.173463 1
0.358176 2.57772 1
0.522542 2.04411 1
0.515888 0.678191 1
0.564876 0.557433 1
0.209203 0.133459 1
0.810856 0.773225 1
0.296167 0.788593 1
0.323324 1.37736 1
0.141928 3.32596 1
0.615112 0.0498607 1
0.0577661 1.49159 1
0.105574 1.20537 1
0.138862 3.5528 1
0.0316269 0.247049 1
0.250964 1.05806 1
0.928839 0.636445 1
0.129876 0.696958 1
0.0188308 2.61062 1
0.479777 0.562466 1
0.28648 2.36474 1
0.553529 0.111377 1
0.248676 0.462564 1
0.184188 0.841182 1
0.232742 0.138891 1
0.486838 1.03353 1
0.211087 0.999238 1
0.995499 0.615399 1
0.814888 0.722547 1
0.379814 0.443731 1
0.516789 0.774143 1
0.311151 0.771533 1
0.10136 2.05315 1
0.0299589 0.948949 1
0.0287228 1.92226 1
0.948321 0.22 1
0.549612 0.522223 1
0.929166 1.92314 1
0.01178 0.195199 1
0.711502 0.836277 1
0.558324 0.210139 1
0.782458 0.437622 1
0.114193 2.00131 1
0.0415138 0.139295 1
0.210958 0.581973 1
0.325051 0.8718 1
0.527303 0.857005 1
0.264066 0.615486 1
0.802339 0.195361 1
0.760314 1.55167 1
0.115578 3.08399 1
0.455956 1.00911 1
0.514723 2.80959 1
0.633986 3.13573 1
0.323816 0.209507 1
0.695842 0.223913 1
0.248509 0.309769 1
0.896112 0.180531 1
0.0679879 2.04887 1
0.0326687 0.25487 1
0.195382 2.45097 1
0.646642 0.37301 1
0.0707067 0.61615 1
0.425293 2.79081 1
0.254644 1.8204 1
0.697659 2.58204 1
0.839004 1.30972 1
0.18761 1.5458 1
0.22929 1.35968 1
0.917367 0.425412 1
0.983957 0.790534 1
0.0890206 0.168674 1
0.195936 0.265421 1
0.369808 0.158458 1
0.288343 0.121778 1
0.653854 0.850272 1
0.226982 1.96382 1
0.770063 0.552547 1
0.93551 0.136568 1
0.787412 0.274037 1
0.365865 1.27713 1
0.69632 0.281673 1
0.872056 1.83927 1
0.511567 0.240806 1
0.434303 1.39814 1
0.515487 0.351001 1
0.296871 1.05192 1
0.168819 1.05357 1
0.808113 4.63882 1
0.984427 2.10418 1
0.814099 0.00667033 1
0.26889 2.50212 1
0.0653556 0.403474 1
0.0996207 0.417705 1
0.578263 0.0108458 1
0.49333 0.122654 1
0.623751 1.02935 1
0.818132 0.241034 1
0.673241 0.789192 1
0.997079 0.182104 1
0.785905 0.379147 1
0.814913 1.3033 1
0.536021 1.30389 1
0.776168 2.12871 1
0.549895 0.0477029 1
0.247137 1.13479 1
0.150812 0.808719 1
0.701016 1.2918 1
0.0741266 2.44078 1
0.555751 0.0110748 1
0.344721 0.214168 1
0.00723482 3.19327 1
0.670488 1.19837 1
0.356654 0.0603097 1
0.314898 0.126947 1
0.221393 0.856049 1
0.906261 0.859772 1
0.386671 1.01665 1
0.666848 0.65369 1
0.277307 0.628009 1
0.996822 4.56675 1
0.919205 0.634358 1
0.0591565 0.350663 1
0.0176433 0.657705 1
0.747945 0.0708476 1
0.916408 0.885892 1
0.00168935 1.02794 1
0.412874 1.26833 1
0.344863 2.99751 1
0.0228813 0.0795777 1
0.56951 0.271866 1
0.17091 0.429293 1
0.17771 0.640241 1
0.132988 2.40169 1
0.556403 0.195292 1
0.430598 0.783111 1
0.438385 0.16631 1
0.201402 1.16547 1
0.839541 0.2982 1
0.874077 0.265504 1
0.627309 0.144367 1
0.954705 0.412018 1
0.0560907 1.03181 1
0.768838 0.555921 1
0.481398 0.744166 1
0.659644 0.483293 1
0.855514 1.75128 1
0.541138 3.02588 1
0.694271 1.4113 1
0.78889 0.385503 1
0.396 0.0865674 1
0.837703 0.84587 1
0.570279 0.334853 1
0.694199 0.173171 1
0.964501 0.208053 1
0.470879 0.842164 1
0.265262 0.120937 1
0.865023 1.68405 1
0.837831 0.0426122 1
0.950539 1.17309 1
0.255493 1.12987 1
0.35188 0.307784 1
0.144175 0.437609 1
0.740137 1.31892 1
0.284548 4.11589 1
0.0208509 0.0217362 1
0.563433 0.796394 1
0.158784 0.639261 1
0.314714 0.726576 1
0.749914 0.423686 1
0.410437 1.57338 1
0.679566 1.59014 1
0.410038 3.33205 1
0.969742 1.83709 1
0.823019 0.539782 1
0.908568 0.00563777 1
0.363659 2.04685 1
0.299975 1.62466 1
0.429071 0.0841949 1
0.900146 5.08505 1
0.0201242 2.28706 1
0.864673 0.336032 1
0.651341 1.11751 1
0.771444 0.224857 1
0.307832 0.596722 1
0.334028 2.19754 1
0.540252 0.264935 1
0.391337 0.721616 1
0.067703 0.810593 1
0.198811 0.414002 1
0.174111 1.66119 1
0.773127 0.261335 1
0.827896 0.578113 1
0.323338 2.71093 1
0.859775 0.265119 1
0.702076 0.303885 1
0.123481 0.143582 1
0.744783 1.61343 1
0.888267 2.03417 1
0.0530677 0.420001 1
0.0933048 1.04451 1
0.0128375 1.92283 1
0.888459 0.94468 1
0.643501 0.401753 1
0.608876 3.79144 1
0.33433 0.790266 1
0.973526 0.116044 1
0.734215 0.0870497 1
0.713276 2.02753 1
0.361429 0.928273 1
0.141276 0.956939 1
0.317551 1.38271 1
0.68952 1.10785 1
0.817147 0.380902 1
0.678978 0.261074 1
0.966273 1.8707 1
0.561176 0.44197 1
0.184638 0.88967 1
0.700307 1.20598 1
0.578309 2.76286 1
0.583568 0.475345 1
0.512333 1.06342 1
0.127316 1.29094 1
0.127258 0.0155185 1
0.547797 0.315749 1
0.839399 0.220764 1
0.300715 1.02961 1
0.273198 0.641491 1
0.134745 3.5658 1
0.877968 2.47614 1
0.490619 0.0374489 1
0.127144 0.674526 1
0.670993 1.34876 1
0.171625 0.978762 1
0.576515 1.04901 1
0.788869 0.311755 1
0.408222 0.010776 1
0.973958 0.537916 1
0.415437 1.07227 1
0.653868 0.35231 1
0.733573 0.097372 1
0.265548 2.08305 1
0.422986 0.325943 1
0.54186 0.0213243 1
0.78817 0.275114 1
0.580381 1.23559 1
0.811246 0.352036 1
0.0359433 0.212613 1
0.998316 0.595376 1
0.289705 0.711573 1
0.0751411 2.43247 1
0.106831 4.03029 1
0.589 1.1021 1
0.558202 1.38146 1
0.665188 0.891117 1
0.167431 1.15786 1
0.738419 0.962388 1
0.927781 0.0180131 1
0.456779 2.18211 1
0.665428 0.5466 1
0.538011 1.21695 1
0.201307 0.275964 1
0.407313 1.08749 1
0.649985 1.34343 1
0.143644 1.71999 1
0.513391 0.0172734 1
0.622178 0.150233 1
0.38654 3.91286 1
0.645396 0.208389 1
0.928432 2.18942 1
0.524388 0.112138 1
0.953189 0.731022 1
0.356888 0.382555 1
0.0562452 0.54285 1
0.692616 0.660396 1
0.21398 0.120798 1
0.948223 0.476724 1
0.700673 0.49886 1
0.606669 0.948163 1
0.978362 0.0824707 1
0.542836 0.741348 1
0.852984 0.969225 1
0.582427 0.32902 1
0.340323 0.209323 1
0.398225 0.233562 1
0.0248552 0.123193 1
0.810835 1.10469 1
0.932528 0.865904 1
0.829838 0.928787 1
0.319351 0.506498 1
0.014447 0.454378 1
0.385898 0.667599 1
0.758958 0.270342 1
0.315176 0.0778855 1
0.833636 0.283218 1
0.878202 1.32609 1
0.718078 2.67805 1
0.0612202 1.06747 1
0.842206 0.990887 1
0.979625 0.422707 1
0.786048 1.8613 1
0.735122 0.948634 1
0.914635 0.614915 1
0.721138 0.911466 1
0.111573 0.0448273 1
0.0203453 0.679159 1
0.52637 1.00969 1
0.0536817 3.16267 1
0.184987 0.215941 1
0.428777 0.687548 1
0.12272 0.866637 1
0.732167 0.630171 1
0.508476 0.0581644 1
0.786577 0.0962388 1
0.755467 0.0646096 1
0.716656 4.99223 1
0.874117 0.65652 1
0.275261 0.629439 1
0.229943 1.22924 1
0.970751 1.30677 1
0.0736384 0.853072 1
0.861639 2.39678 1
0.656032 0.90689 1
0.0601169 0.0772871 1
0.926164 2.03461 1
0.96212 0.362082 1
0.837519 1.15694 1
0.186842 1.54928 1
0.319308 0.399632 1
0.790416 0.3733 1
0.804878 0.242719 1
0.681258 0.576865 1
0.219869 0.427776 1
0.273131 0.485517 1
0.0926819 0.972041 1
0.924128 1.98743 1
0.934315 1.60457 1
0.64407 0.456992 1
0.33628 0.706759 1
0.0694989 0.964803 1
0.303982 0.743831 1
0.0230603 0.453671 1
0.321403 0.840081 1
0.631747 0.516928 1
0.929034 0.036373 1
0.345159 1.77468 1
0.829431 1.73712 1
0.307663 2.00485 1
0.259066 0.0642985 1
0.0465648 0.143683 1
0.200815 0.777874 1
0.612999 0.12655 1
0.702891 2.28945 1
0.768288 0.766 1
0.366621 1.22051 1
0.7786 0.201151 1
0.4383 0.140538 1
0.0604818 0.71642 1
0.706512 0.131537 1
0.598622 0.252948 1
0.893093 1.25498 1
0.430685 0.437483 1
0.170146 4.75023 1
0.745834 0.452094 1
0.876619 1.71751 1
0.0684164 0.313144 1
0.993716 0.547594 1
0.628624 0.472799 1
0.927763 0.242254 1
0.905456 1.20021 1
0.556056 0.858217 1
0.792064 0.212233 1
0.878287 3.8828 1
0.263606 0.00633243 1
0.607643 0.0585375 1
0.760695 0.00202723 1
0.0835711 0.393169 1
0.846126 0.103869 1
0.585418 0.946414 1
0.152087 0.0809572 1
0.826165 0.535927 1
0.110673 0.183171 1
0.967213 0.33392 1
0.894684 0.214158 1
0.537434 0.0743069 1
0.704443 1.7807 1
0.74884 0.456589 1
0.966918 1.99722 1
0.601649 1.47968 1
0.448968 0.0342779 1
0.92759 0.141883 1
0.711609 0.273665 1
0.403798 0.650156 1
0.854261 1.51568 1
0.287594 1.19129 1
0.413665 0.236235 1
0.162469 1.41292 1
0.0598403 2.56909 1
0.400861 1.28261 1
0.37217 3.09655 1
0.0634707 2.08582 1
0.902711 1.327 1
0.334753 0.403615 1
0.530886 0.0730643 1
0.796215 0.978488 1
0.177249 0.00402427 1
0.50049 0.935038 1
0.2037 0.563822 1
0.216929 0.798433 1
0.475688 0.218883 1
0.952317 1.83761 1
0.361963 0.113512 1
0.350701 0.0885648 1
0.895775 0.14339 1
0.474012 0.120166 1
0.125977 0.986971 1
0.0344757 0.0658438 1
0.708074 0.527729 1
0.345417 0.240689 1
0.779194 0.843954 1
0.337925 2.29408 1
0.342159 3.15918 1
0.799757 0.265391 1
0.0253214 0.315114 1
0.527576 3.58053 1
0.0499634 1.63357 1
0.052215 0.87665 1
0.0290888 0.159997 1
0.216654 0.77951 1
0.826158 0.123742 1
0.247237 0.967492 1
0.682865 2.78163 1
0.830151 2.78834 1
0.818512 0.393909 1
0.738246 0.764464 1
0.654559 0.94766 1
0.379293 0.382166 1
0.973549 1.95423 1
0.437135 1.13362 1
0.196877 2.37745 1
0.455565 0.705815 1
0.180898 0.245312 1
0.366493 2.19563 1
0.00244257 1.10672 1
0.401971 0.344023 1
0.0687979 0.923721 1
0.485673 0.992563 1
0.110505 0.442912 1
0.7845 3.18143 1
0.947243 1.35783 1
0.969572 1.2202 1
0.0150332 0.459362 1
0.962413 0.300532 1
0.496947 0.0692797 1
0.679472 1.38237 1
0.665286 1.98123 1
0.0408523 1.65811 1
0.683195 0.0274895 1
0.0179923 0.690613 1
0.43201 1.0532 1
0.488436 2.01218 1
0.273945 0.577859 1
0.800841 1.28398 1
0.747267 1.28975 1
0.827242 0.755109 1
0.22023 1.45635 1
0.458522 0.574266 1
0.894415 0.189635 1
0.0705525 1.1905 1
0.191702 1.51882 1
0.709738 0.315873 1
0.176534 1.19774 1
0.918698 0.0977478 1
0.647618 2.06259 1
0.889275 0.517519 1
0.74505 0.486627 1
0.455399 2.48597 1
0.0788086 0.409467 1
0.0875213 1.65293 1
0.0124689 1.99825 1
0.452495 1.95861 1
0.313304 0.335897 1
0.0432081 0.599248 1
0.559892 0.0561377 1
0.0324179 1.12874 1
0.0899208 1.32033 1
0.858882 5.8334 1
0.506019 0.0544531 1
0.904126 0.199162 1
0.241877 0.181884 1
0.769303 0.178417 1
0.622873 1.96558 1
0.634386 0.0444857 1
0.786465 0.239391 1
0.732227 0.743476 1
0.226739 0.0610484 1
0.303789 2.47185 1
0.696108 0.611493 1
0.0307801 3.56108 1
0.671613 0.756582 1
0.693136 1.63528 1
0.0583919 2.70748 1
0.535069 0.536255 1
0.726375 0.141314 1
0.0247625 1.46372 1
0.364422 0.489924 1
0.0822656 0.390892 1
0.294383 0.0862181 1
0.824973 2.27288 1
0.661342 0.178948 1
0.569845 0.773957 1
0.872215 1.25521 1
0.164483 0.0708884 1
0.850037 2.54037 1
0.942923 0.00636443 1
0.348883 0.15092 1
0.266027 0.994606 1
0.305679 1.38463 1
0.0768706 1.68622 1
0.69245 0.304253 1
0.0410867 0.219092 1
0.768324 0.455961 1
0.550128 1.12992 1
0.701084 0.0721112 1
